C_Name,EN_Name,HP_Max,HP_Min,ATK_Max,ATK_Min,Rate,Type,Route
鯊奇馬,Shakima,3500,2500,600,400,SSR,water,cat_left_route
反爪鷹,Clawverse,900,500,200,130,N,wood,cat_left_route
狐焦炎,Scorchfox,3000,2000,700,500,SSR,fire,cat_right_route
枯葉鷹,Withercry,1800,1100,300,200,R,fire,cat_left_zhinan_route
鯊童子,Sharkin,1300,600,400,300,R,water,cat_left_zhinan_route
狂狼,Ferrowolf,1600,900,350,250,R,water,br3_route
炎甲豬,Blazebore,2300,1600,200,100,R,fire,cat_left_route
略火豹,Flarepounce,1570,870,360,260,R,fire,cat_left_route
漣漪犬,Ripplash,2600,1800,450,300,SR,water,cat_left_route
精靈鐘,Belluna,3750,2750,550,350,SSR,wood,cat_left_zhinan_route
幽波母,Mistmare,1100,700,170,100,N,water,cat_left_route
滄瀾龍,Abydragon,2400,1600,500,350,SR,water,cat_right_route
急速鵝,Jetguin,1700,1000,330,230,R,water,cat_left_route
赤璃,Rushonk,2400,1600,500,350,SR,fire,cat_left_route
八星之主,Luxarion,2800,1800,750,550,SSR,light,br3_route
蒙昧,Obnuxis,2500,1500,800,600,SSR,dark,NEW
耀獅,Lumileon,2300,1500,500,350,SR,light,cat_left_route
森魈,Sylvex,1200,800,150,80,N,wood,br3_route
豆靈,Dendrolux,1450,750,370,270,R,wood,cat_left_route
閃耀犬,Luminwoof,2600,1800,450,300,SR,light,cat_left_zhinan_route
星鹿,Astrava,1700,1000,330,230,R,light,cat_right_route
光鶴,Luvacran,1500,800,360,260,R,light,cat_left_route
閃光狐,Glacura,1000,600,190,120,N,light,cat_left_route
哺吉卡,Puchika,1100,700,170,100,N,light,cat_left_route
影豹,Noxlynx,1200,500,430,330,R,dark,cat_left_route
夜烏,Umbcrow,900,500,200,130,N,dark,cat_left_route
噬燈蛾,Noctulume,1150,750,160,90,N,dark,cat_left_route
黑鐘犬,Tenebell,1600,900,350,250,R,dark,cat_right_route
夢魘馬,Maresha,2500,1700,470,320,SR,dark,cat_left_route
虛眼獸,Voidgazer,1500,800,360,260,R,dark,br3_route
霧蛛,Nighmira,1400,700,380,280,R,dark,br3_route
魔偶,Hexmarion,1100,700,170,100,N,dark,br3_route
影縛龍,Noctivyra,2400,1600,500,350,SR,dark,cat_left_zhinan_route
斷翼鳥,Crawlcrow,800,400,220,150,N,dark,br3_route
鬼魂,Ghost,1000,600,180,110,N,dark,br3_route
光麟蛇,Solnaga,850,450,210,140,N,light,br3_route
晨曦蝶,Auraflare,900,500,200,130,N,light,br3_route
曜星獸,Stellion,1800,1100,290,190,R,light,cat_right_route
螢光馬,Skyrion,2000,1300,250,150,R,light,br3_route
樹甲獸,Barkadon,2200,1500,220,120,R,wood,cat_right_route
藤影狐,Vinetrix,2500,1700,470,320,SR,wood,cat_left_route
腐木靈,Decaydre,1950,1250,270,170,R,wood,br3_route
蛹蟲,Woormroot,1250,850,140,70,N,wood,cat_left_route
曦鹿靈,Solafawn,1200,800,150,80,N,light,br3_route
森林狼,Bloshelm,1300,900,130,60,N,wood,br3_route
森鐘熊,Grovebell,1100,700,170,100,N,wood,br3_route
木獅,Woolion,2600,1800,450,300,SR,wood,br3_route
花語貓,Petalynx,1500,800,360,260,R,wood,br3_route
熔岩獸,Moltenox,1300,900,130,60,N,fire,br3_route
火狐靈,Pyrixen,1400,700,380,280,R,fire,cat_left_route
燒烙鬼,Burngeist,2300,1500,500,350,SR,fire,br3_route
爐岩蟲,Forvulca,1250,850,140,70,N,fire,cat_left_route
煤燄鼠,Cindrat,1300,900,130,60,N,fire,cat_left_route
赤焰鳥,Flareonix,1150,750,160,90,N,fire,br3_route
牛火,Blazemoo,1300,900,130,60,N,fire,cat_right_route
潮浪鰭,Tideflin,1200,800,150,80,N,water,cat_right_route
泡泡鼴,Bubblemol,1250,850,140,70,N,water,cat_left_zhinan_route
冰牙虎,Frostral,1300,600,400,300,R,water,cat_left_route
渦流鯨,Whirlevi,1000,600,190,120,N,water,cat_left_zhinan_route
潛彈蝦,Hydropincer,1300,900,130,60,N,water,cat_left_zhinan_route
滾滾豬,Rollump,1100,700,170,100,N,normal,cat_left_route
彈彈鼠,Bounceek,1300,900,130,60,N,normal,cat_right_route
拳熊,Pawbrawler,2100,1300,550,400,SR,normal,cat_left_route
沙包獸,Sackloon,1950,1250,270,170,R,normal,cat_left_zhinan_route
瞪瞪獸,Stareek,1700,1000,330,230,R,normal,br3_route
嘟嘴鳥,Beakyboo,1200,800,150,80,N,normal,cat_left_route
大尾狸,Bushut,850,450,210,140,N,normal,cat_left_route
青鬼,BlueDemon,3000,2200,500,350,SR,normal,br3_route
耳鼓獸,Echoon,1100,700,170,100,N,normal,cat_right_route
棒棒熊,Stickuff,2400,1600,500,350,SR,normal,br3_route
虛弱兔,Flopbit,1700,1000,330,230,R,normal,cat_left_route
折耳狸,Furlyx,1700,1000,330,230,R,normal,br3_route
